method,run_name,train_size,seed,run_dir,far_ood_mutual_information,near_ood_mutual_information,far_ood_logit_variance_sum,near_ood_logit_variance_sum,far_ood_expected_pairwise_kl,near_ood_expected_pairwise_kl,far_ood_softmax_variance_sum,near_ood_softmax_variance_sum,mean_sigma,max_sigma,sigma_norm,far_ood_predictive_entropy,near_ood_predictive_entropy,far_ood_one_minus_max_softmax,near_ood_one_minus_max_softmax
lll,pneumonia_lll_n1000,1000,1,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n1000/20260715_155146,0.8962783599037619,0.893370127945516,0.9152097902097903,0.8768136792520862,0.9586085471334667,0.9272353596781963,0.8572729521282576,0.8806250198314829,0.041050780564546585,0.04158053174614906,1.3176451921463013,,,,
lll,pneumonia_lll_n1000,1000,2,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n1000/20260715_155218,0.7564257152279661,0.8358889804742825,0.8344355938809315,0.8864820229410594,0.7509963910687383,0.8246973084711441,0.7510750905043508,0.8399574091862313,0.010186473838984966,0.010755937546491623,0.3297297954559326,,,,
lll,pneumonia_lll_n1000,1000,3,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n1000/20260715_155539,0.9044750466575227,0.8921426492986146,0.8170678464086825,0.8669842498363002,0.9007675068768317,0.9020454101294886,0.9127513697449389,0.8893184207793556,0.009667428210377693,0.010261712595820427,0.3133924901485443,,,,
lll,pneumonia_lll_n1000,1000,4,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n1000/20260715_155549,0.8220141996267399,0.9169744602952077,0.8221303749840727,0.8354269069232788,0.8904044776231271,0.9371651183687129,0.7991997953814675,0.9055120434792643,0.06253580003976822,0.06309323012828827,2.005244493484497,,,,
lll,pneumonia_lll_n10000,10000,0,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n10000/20260715_155920,0.7803494067561592,0.9548204565712158,0.9490575742585388,0.8807494173149759,0.8290076750687684,0.9651321065217454,0.7663549606877581,0.9462697070853923,0.014949685893952847,0.015545484609901905,0.48233845829963684,,,,
lll,pneumonia_lll_n10000,10000,1,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n10000/20260715_155934,0.9275787181735734,0.9544218437654146,0.964150533282366,0.8529179142472259,0.9989384945172728,0.9779290919921193,0.8900793740022036,0.9441390396081588,0.07324782013893127,0.07375071942806244,2.3487091064453125,,,,
lll,pneumonia_lll_n10000,10000,2,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n10000/20260715_160518,0.8840787762612522,0.9393071438770478,0.9363860282268642,0.8135111351973485,0.9898730690531334,0.9589317032575555,0.8561074509627564,0.9312274822526256,0.08217217773199081,0.08267449587583542,2.6344008445739746,,,,
lll,pneumonia_lll_n10000,10000,3,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n10000/20260715_160541,0.9621474452664165,0.8444234591298379,0.9939134418636026,0.8287864250254565,0.9917670084470728,0.8540284772882646,0.935796250908791,0.8358519316585468,0.015303363092243671,0.015913164243102074,0.4937628507614136,,,,
lll,pneumonia_lll_n10000,10000,4,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_lll_n10000/20260715_161208,0.942911991545432,0.9270162668639719,0.931319752059302,0.8340969806387034,0.9860570833239644,0.9395004106919818,0.9112804398174172,0.9177635279559004,0.03241151571273804,0.03296731784939766,1.0408624410629272,,,,
map,pneumonia_map_n100,100,0,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n100/20260715_161458,,,,,,,,,,,,0.5512600341780406,0.7139315806629339,0.5512602684025514,0.713931670806038
map,pneumonia_map_n100,100,1,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n100/20260715_161800,,,,,,,,,,,,0.7689717169218777,0.6005384067314543,0.7689721853708992,0.6005383616599024
map,pneumonia_map_n100,100,2,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n100/20260715_161857,,,,,,,,,,,,0.37504895292274715,0.42243794368435783,0.3750487186982364,0.42243762818349384
map,pneumonia_map_n100,100,3,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n100/20260715_162133,,,,,,,,,,,,0.6069162281983826,0.5593650932728725,0.6069159939738719,0.5593651834159765
map,pneumonia_map_n100,100,4,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n100/20260715_162223,,,,,,,,,,,,0.6292249417249417,0.4910913373198219,0.6292244732759202,0.4910912471767179
map,pneumonia_map_n1000,1000,0,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n1000/20260715_162509,,,,,,,,,,,,0.6787948118333971,0.8623560324486329,0.6787945776088863,0.8623559423055289
map,pneumonia_map_n1000,1000,1,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n1000/20260715_162553,,,,,,,,,,,,0.6773159182725099,0.8169854307109623,0.6773163867215314,0.8169852954963064
map,pneumonia_map_n1000,1000,2,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n1000/20260715_162845,,,,,,,,,,,,0.695891795771217,0.8261227413743867,0.6958915615467063,0.8261227864459386
map,pneumonia_map_n1000,1000,3,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n1000/20260715_162936,,,,,,,,,,,,0.638286619596909,0.8552368906686744,0.6382863853723981,0.8552369808117782
map,pneumonia_map_n1000,1000,4,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n1000/20260715_163224,,,,,,,,,,,,0.6513029441084104,0.8386490271035074,0.6513031783329212,0.8386490271035074
map,pneumonia_map_n10000,10000,0,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n10000/20260715_163320,,,,,,,,,,,,0.4946709239313741,0.8576716108356338,0.49466741056371283,0.857671115048562
map,pneumonia_map_n10000,10000,1,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n10000/20260715_163617,,,,,,,,,,,,0.33449040241644745,0.8847137307418271,0.33448735749780767,0.8847134603125153
map,pneumonia_map_n10000,10000,2,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n10000/20260715_163734,,,,,,,,,,,,0.6382758452694144,0.8888550852248962,0.6382737372488176,0.8888551753680001
map,pneumonia_map_n10000,10000,3,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n10000/20260715_164055,,,,,,,,,,,,0.7476905463239868,0.7867249766349076,0.7476907805484976,0.7867249315633554
map,pneumonia_map_n10000,10000,4,./robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_map_n10000/20260715_164218,,,,,,,,,,,,0.7918587307654832,0.8768668636834348,0.791858964989994,0.8768667284687788
