method,train_size,n_seeds,far_ood_mutual_information_mean,far_ood_mutual_information_std,near_ood_mutual_information_mean,near_ood_mutual_information_std,far_ood_logit_variance_sum_mean,far_ood_logit_variance_sum_std,near_ood_logit_variance_sum_mean,near_ood_logit_variance_sum_std,far_ood_expected_pairwise_kl_mean,far_ood_expected_pairwise_kl_std,near_ood_expected_pairwise_kl_mean,near_ood_expected_pairwise_kl_std,far_ood_softmax_variance_sum_mean,far_ood_softmax_variance_sum_std,near_ood_softmax_variance_sum_mean,near_ood_softmax_variance_sum_std,mean_sigma_mean,mean_sigma_std,max_sigma_mean,max_sigma_std,sigma_norm_mean,sigma_norm_std,far_ood_predictive_entropy_mean,far_ood_predictive_entropy_std,near_ood_predictive_entropy_mean,near_ood_predictive_entropy_std,far_ood_one_minus_max_softmax_mean,far_ood_one_minus_max_softmax_std,near_ood_one_minus_max_softmax_mean,near_ood_one_minus_max_softmax_std
ensemble,100,5,0.6391897424654658,0.183227055744551,0.33419465970617673,0.2422263579083953,,,,,,,,,0.63999477210892,0.17814124785723795,0.3091142610717366,0.2567626520286984,,,,,,,,,,,,,,
ensemble,1000,5,0.8489598557926532,0.09647467745485021,0.8665360312803783,0.04098622008923634,,,,,,,,,0.8492547912965918,0.09438110776844273,0.8694560909334788,0.03469954510871805,,,,,,,,,,,,,,
ensemble,10000,5,0.7933521462460369,0.07647422860115821,0.8798816547245082,0.013796679238890754,,,,,,,,,0.7983484361297866,0.07613495037805189,0.8847577836767424,0.015895914904615796,,,,,,,,,,,,,,
lll,100,5,0.7286653793687556,0.0380867518372001,0.7486221085697966,0.05598112987751259,0.776708152512011,0.07043428628041136,0.7815390258342925,0.05275948523733757,0.6853882786559635,0.02902778813747941,0.7402216456669292,0.04762531577590069,0.7384426131210697,0.05523479738393089,0.7393411638844899,0.06639882721564384,0.02481381520628929,0.0016291639940397631,0.02547241859138012,0.0016222813087776878,0.7995996832847595,0.0521021432312382,,,,,,,,
lll,1000,5,0.8138434649487707,0.08210287872363681,0.8944842516391622,0.03319938448691605,0.8325780061310608,0.046058932669063836,0.8677877944794921,0.01736924932238704,0.8368104898852489,0.10269822468002164,0.9093818779188336,0.04575469375613805,0.8013671216243562,0.07905946225012409,0.8876403528128975,0.02785860572596988,0.02993206325918436,0.020004768983997084,0.030504681542515753,0.01998983371209676,0.9618955314159393,0.6402109368538333,,,,,,,,
lll,10000,5,0.8994132676005666,0.0648573175856579,0.9239978340414977,0.041112580736841466,0.9549654659381346,0.022541201234243646,0.8420123744847421,0.023105796348523604,0.9591286660820423,0.0651949600872028,0.9391043579503332,0.04430798939072865,0.8719236952757854,0.05891213233402837,0.9150503377121246,0.040895600081846076,0.04361691251397133,0.028682841711113394,0.0441702364012599,0.02863887881859987,1.400014740228653,0.9182747600436463,,,,,,,,
map,100,5,,,,,,,,,,,,,,,,,,,,,,,0.586284374789198,0.12766466897752704,0.5574728723342881,0.0989732168934917,0.586284327944296,0.12766482862223055,0.5574728182484258,0.09897333999892928
map,1000,5,,,,,,,,,,,,,,,,,,,,,,,0.6683184179164886,0.02069993366027903,0.8398700244612327,0.017064257324473326,0.6683184179164886,0.02069991773406486,0.8398700064326119,0.01706427880792647
map,10000,5,,,,,,,,,,,,,,,,,,,,,,,0.6013972897413412,0.1683253450653538,0.8589664534241399,0.037675416052551675,0.6013956501697659,0.16832675758649682,0.8589662821522424,0.03767540123726338
