group,method,train_size,n_seeds,id_accuracy_mean,id_accuracy_std,id_auroc_mean,id_auroc_std,far_ood_mutual_information_mean,far_ood_mutual_information_std,far_ood_logit_variance_sum_mean,far_ood_logit_variance_sum_std,far_ood_expected_pairwise_kl_mean,far_ood_expected_pairwise_kl_std,far_ood_softmax_variance_sum_mean,far_ood_softmax_variance_sum_std,near_ood_mutual_information_mean,near_ood_mutual_information_std,near_ood_logit_variance_sum_mean,near_ood_logit_variance_sum_std,near_ood_expected_pairwise_kl_mean,near_ood_expected_pairwise_kl_std,near_ood_softmax_variance_sum_mean,near_ood_softmax_variance_sum_std,far_ood_predictive_entropy_mean,far_ood_predictive_entropy_std,far_ood_one_minus_max_softmax_mean,far_ood_one_minus_max_softmax_std,near_ood_predictive_entropy_mean,near_ood_predictive_entropy_std,near_ood_one_minus_max_softmax_mean,near_ood_one_minus_max_softmax_std,long_tail_mutual_information_mean,long_tail_mutual_information_std,long_tail_logit_variance_sum_mean,long_tail_logit_variance_sum_std,long_tail_expected_pairwise_kl_mean,long_tail_expected_pairwise_kl_std,long_tail_softmax_variance_sum_mean,long_tail_softmax_variance_sum_std,long_tail_predictive_entropy_mean,long_tail_predictive_entropy_std,long_tail_one_minus_max_softmax_mean,long_tail_one_minus_max_softmax_std
data_eff,ensemble,100.0,5,0.6035256410256411,0.20324051297514092,0.9228117466579006,0.0065300498044419605,0.6391897424654658,0.183227055744551,,,,,0.63999477210892,0.17814124785723795,0.33419465970617673,0.2422263579083953,,,,,0.3091142610717366,0.2567626520286984,,,,,,,,,,,,,,,,,,,,
data_eff,ensemble,1000.0,5,0.9012820512820513,0.005961883089018656,0.9778687267148806,0.0016990080574568985,0.8489598557926532,0.09647467745485021,,,,,0.8492547912965918,0.09438110776844273,0.8665360312803783,0.04098622008923634,,,,,0.8694560909334788,0.03469954510871805,,,,,,,,,,,,,,,,,,,,
data_eff,ensemble,10000.0,5,0.8830128205128205,0.021236242017278778,0.978600701293009,0.0025743710055285965,0.7933521462460369,0.07647422860115821,,,,,0.7983484361297866,0.07613495037805189,0.8798816547245082,0.013796679238890754,,,,,0.8847577836767424,0.015895914904615796,,,,,,,,,,,,,,,,,,,,
data_eff,lll,100.0,5,0.635576923076923,0.018119607724490453,0.680012053473592,0.05828371757730114,0.2995684647613908,0.28880972161734225,0.3777810881508631,0.32131679526308704,0.2981566999452851,0.2905608366758309,0.3161413947788546,0.28349874941370606,0.29695258616959597,0.29709670947247313,0.3606990489541958,0.3221957564146232,0.2920911956148625,0.30173431454222177,0.3187967842709658,0.2855207354523541,,,,,,,,,,,,,,,,,,,,
data_eff,lll,1000.0,5,0.8282051282051281,0.03536405478460691,0.9507253999561692,0.009288025941073396,0.9095733647381558,0.042550889612632814,0.9449754157953516,0.02369765824276378,0.9406008514529415,0.0226086004081014,0.8616055434383408,0.05427822837636453,0.9371598720400611,0.032064134630643414,0.9838955919301007,0.006387367214820971,0.980539239653735,0.00806430212874655,0.8651217671077189,0.06765833152081267,,,,,,,,,,,,,,,,,,,,
data_eff,lll,10000.0,5,0.8333333333333334,0.05200808173176059,0.9657878588647819,0.007940836398214076,0.8269344133893972,0.016162612274556475,0.8471092010883007,0.041182399449239585,0.8451608279180627,0.017074527674618367,0.8063006393392247,0.012551598855111189,0.8853668896446486,0.04296077016768143,0.9044666539024032,0.05415402851437133,0.9110349852597995,0.040708875931856646,0.8621087248428626,0.0464537916732804,,,,,,,,,,,,,,,,,,,,
data_eff,map,100.0,5,0.6272435897435897,0.003737789676182871,0.9014551829936444,0.011281704325350275,,,,,,,,,,,,,,,,,0.945078052975963,0.012792364623460728,0.9450760386451705,0.012791344581849183,0.8434752888906196,0.1844458789087689,0.8434752708619987,0.18444580858636206,,,,,,,,,,,,
data_eff,map,1000.0,5,0.8262820512820512,0.035713816095343895,0.947753670830594,0.011912234078082838,,,,,,,,,,,,,,,,,0.5352022575495244,0.10968701723979586,0.5352023512393287,0.10968706842321602,0.26528613404351675,0.15116999773045736,0.2652859898145504,0.15116994492103147,,,,,,,,,,,,
data_eff,map,10000.0,5,0.8298076923076924,0.04974045060145217,0.9610902914749069,0.006217305043876607,,,,,,,,,,,,,,,,,0.6826449943411358,0.02991612107533932,0.6826446664268208,0.029917339926925256,0.676569950327544,0.03902201535631751,0.6765731864649769,0.03901791558449719,,,,,,,,,,,,
full_data,ensemble,,5,0.8993589743589743,0.016197793292940122,0.9791770764847689,0.0022583706804081903,0.8189034170545426,0.07359568437856395,,,,,0.8272497732706736,0.0732019351592183,0.8819946541533616,0.012800116829678436,,,,,0.8878023399707503,0.014381268502237175,,,,,,,,,,,,,,,,,,,,
full_data,lll,,5,0.8375,0.10668118891527253,0.952101687486303,0.04736013228632784,0.9044332610048045,0.06934518124778666,0.9425288939356464,0.04517758703143925,0.9513266476288983,0.047374212839891454,0.8805653149101703,0.07258976315564324,0.8817981602153051,0.10375930382082098,0.8446825484392984,0.029336139904359525,0.9083784769998067,0.08992318356293276,0.8651950895084966,0.11777552453001787,,,,,,,,,,,,,,,,,,,,
full_data,map,,5,0.8894230769230769,0.012618602362198418,0.9719964935349552,0.004123321859166577,,,,,,,,,,,,,,,,,0.6022469625765445,0.19121362623963267,0.6022469157316424,0.19121218867014153,0.8816627111872639,0.014487140206929214,0.8816625399153665,0.014487280956543298,,,,,,,,,,,,
longtail,ensemble,,5,0.7266025641025641,0.024147190002355587,0.9172649572649572,0.023476396411750842,0.6214478447597419,0.20079883839366663,,,,,0.5528982940960433,0.2101987023953652,0.6161496058222349,0.1696271007350444,,,,,0.6289055671659873,0.13702921606868987,,,,,,,,,0.8568880122726277,0.014680829041122329,,,,,0.8694718387026079,0.01032464317960788,,,,
longtail,lll,,5,0.721474358974359,0.025224990217885875,0.8785152312075389,0.03193904227972529,0.6635611775684124,0.111700289646055,0.9167690696227675,0.09975391675614637,0.7206937823698273,0.14700586395101028,0.6229122164009624,0.09635552575570903,0.789165817518627,0.060647306120221456,0.8773896936865212,0.03381919348268874,0.7976299394815257,0.05799259526038744,0.7822298645545777,0.06957474295570336,,,,,,,,,0.904295419680035,0.03865797826816157,0.8744992329607715,0.06776468852992483,0.9083300460223537,0.03670779331124039,0.9008371685294762,0.03197289019200564,,,,
longtail,map,,5,0.7221153846153847,0.02800775932686344,0.8407670392285777,0.027641540589030934,,,,,,,,,,,,,,,,,0.17696050599989507,0.21809469103430124,0.17696045915499287,0.2180947261555277,0.6851987096555524,0.13917607783436234,0.6851987637414148,0.1391760057187213,,,,,,,,,0.7841463949156258,0.055738923671935545,0.7841474906859524,0.055740453759715834
