group,method,run_name,train_size,seed,run_dir,id_accuracy,id_auroc,far_ood_mutual_information,far_ood_logit_variance_sum,far_ood_expected_pairwise_kl,far_ood_softmax_variance_sum,near_ood_mutual_information,near_ood_logit_variance_sum,near_ood_expected_pairwise_kl,near_ood_softmax_variance_sum,far_ood_predictive_entropy,far_ood_one_minus_max_softmax,near_ood_predictive_entropy,near_ood_one_minus_max_softmax,long_tail_mutual_information,long_tail_logit_variance_sum,long_tail_expected_pairwise_kl,long_tail_softmax_variance_sum,long_tail_predictive_entropy,long_tail_one_minus_max_softmax
longtail,fll,pneumonia_resnet18_longtail_normal2pct_fll,,42,/vol/miltank/users/ahra/robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_resnet18_longtail_normal2pct_fll/20260713_000246,0.7003205128205128,0.89002849002849,0.7790363441488843,0.8494011347709097,0.7950870471971758,0.7661694548752427,0.5139642485238165,0.6793254627586387,0.5378729039925463,0.49604560231458644,,,,,0.9101797063335525,0.9286763094455402,0.9161845277229893,0.9038461538461539,,
longtail,lll,pneumonia_resnet18_longtail_normal2pct_lll,,0,/vol/miltank/users/ahra/robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_resnet18_longtail_normal2pct_lll/20260709_154738,0.6842948717948718,0.9163379355687049,0.7171996679633337,0.9950395933112975,0.8307774754720092,0.6784650237222585,0.8141653037029344,0.8743433074875026,0.8219718767938479,0.8139684311638412,,,,,0.9230221345605961,0.9110234494849881,0.9268463730002191,0.9218496603111987,,
longtail,lll,pneumonia_resnet18_longtail_normal2pct_lll,,1,/vol/miltank/users/ahra/robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_resnet18_longtail_normal2pct_lll/20260709_155303,0.7275641025641025,0.8876232741617357,0.8019533387298661,0.9979369505092979,0.8862530823945615,0.7375120859847548,0.8964396809222577,0.9257248316847962,0.9008940122623468,0.896235281433982,,,,,0.932993644532106,0.904152969537585,0.9368507560815253,0.9234385272846811,,
longtail,lll,pneumonia_resnet18_longtail_normal2pct_lll,,2,/vol/miltank/users/ahra/robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_resnet18_longtail_normal2pct_lll/20260709_155532,0.7163461538461539,0.8910365987289064,0.690878922792106,0.9892317623426948,0.7707241847113229,0.6296896431542733,0.7407417172910338,0.886543545609526,0.7459356727992823,0.7252623434755142,,,,,0.8958799035722114,0.9036598728906421,0.8928774928774927,0.8908941485864563,,
longtail,lll,pneumonia_resnet18_longtail_normal2pct_lll,,3,/vol/miltank/users/ahra/robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_resnet18_longtail_normal2pct_lll/20260709_155854,0.7163461538461539,0.8199539776462853,0.6420691112210405,0.8503150788118634,0.638450810978946,0.6196076833134712,0.76134049826781,0.8201073568311166,0.7614223932777764,0.7766535129849339,,,,,0.8325115055884287,0.7392176199868508,0.843326758711374,0.8422090729783038,,
longtail,lll,pneumonia_resnet18_longtail_normal2pct_lll,,4,/vol/miltank/users/ahra/robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_resnet18_longtail_normal2pct_lll/20260709_160123,0.7628205128205128,0.8776243699320623,0.4657048471357153,0.7513219631386835,0.4772633582922972,0.4492866458300542,0.7331418874090998,0.8802294268196648,0.7579257422743754,0.6990297537146171,,,,,0.9370699101468333,0.9144422529037913,0.9417488494411572,0.9257944334867412,,
longtail,map,pneumonia_resnet18_longtail_normal2pct_det,,0,/vol/miltank/users/ahra/robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_resnet18_longtail_normal2pct_det/20260709_160401,0.6794871794871795,0.8756410256410257,,,,,,,,,2.3422451075184143e-05,2.3422451075184143e-05,0.7935016196912923,0.7935014844766364,,,,,0.8619767696690774,0.86198224852071
longtail,map,pneumonia_resnet18_longtail_normal2pct_det,,1,/vol/miltank/users/ahra/robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_resnet18_longtail_normal2pct_det/20260709_160639,0.7323717948717948,0.8253780407626561,,,,,,,,,0.02193957569761427,0.021939809922125027,0.8299378228925984,0.8299376426063905,,,,,0.7647381108919571,0.7647381108919571
longtail,map,pneumonia_resnet18_longtail_normal2pct_det,,2,/vol/miltank/users/ahra/robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_resnet18_longtail_normal2pct_det/20260709_160748,0.717948717948718,0.8699978084593468,,,,,,,,,0.01769378799121563,0.017693319542194125,0.6115628182051571,0.611563043562917,,,,,0.8151983344291038,0.8151983344291037
longtail,map,pneumonia_resnet18_longtail_normal2pct_det,,3,/vol/miltank/users/ahra/robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_resnet18_longtail_normal2pct_det/20260709_161032,0.7147435897435898,0.8036379574841113,,,,,,,,,0.5576126713586521,0.557612671358652,0.7415357878939974,0.7415361033948614,,,,,0.7848674117904888,0.7848674117904888
longtail,map,pneumonia_resnet18_longtail_normal2pct_det,,4,/vol/miltank/users/ahra/robustness-of-bayesian-deep-learning-for-uncertainty-quantification/outputs/pneumonia_resnet18_longtail_normal2pct_det/20260709_161105,0.7660256410256411,0.8291803637957487,,,,,,,,,0.2875330725009182,0.28753307250091814,0.4494554995947166,0.4494555446662686,,,,,0.6939513477975017,0.6939513477975017
